"Daily Weather Observations for Cabramurra, New South Wales for November 2019"
"Prepared at 13:00 UTC on Sunday 11 October 2020   IDCJDW2023.201911"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Temperature, humidity, wind and rainfall observations are from Cabramurra SMHEA AWS {station 072161}"
"Cloud observations are from Tumbarumba Post Office {station 072043}"

"Date","Minimum temperature (C)","Maximum temperature (C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
2019-11-1,13.9,22.5,0,,,NNW,43,14:00,17.1,45,6,N,11,,21.0,27,,NW,22,
2019-11-2,14.1,20.0,0,,,WNW,61,22:42,15.1,52,6,N,22,,18.9,44,,NNW,26,
2019-11-3,9.6,12.8,19.8,,,N,52,10:20,12.3,99,7,NNW,26,,10.5,100,,W,22,
2019-11-4,5.9,10.0,33.2,,,WNW,61,11:28,6.5,100,,WNW,28,,7.7,76,,WNW,31,
2019-11-5,0.8,9.5,4.2,,,W,41,23:58,2.7,99,7,WSW,7,,8.2,66,,WNW,17,
2019-11-6,2.1,11.6,0,,,WNW,72,22:57,5.8,69,3,WNW,26,,7.8,73,,WNW,26,
2019-11-7,0.6,6.9,0,,,W,74,00:13,0.7,99,7,WNW,33,,4.8,81,,WNW,33,
2019-11-8,0.7,3.7,2.6,,,WNW,61,03:38,3.4,100,8,WNW,31,,0.8,100,,W,20,
2019-11-9,-3.5,2.0,26.8,,,W,56,18:26,-2.1,83,4,W,26,,0.9,88,,W,26,
2019-11-10,-2.1,7.5,0.8,,,W,59,02:02,1.9,100,5,WSW,17,,4.2,100,,WNW,17,
2019-11-11,1.8,14.9,0,,,W,43,11:05,7.0,91,,WSW,19,,13.1,53,,WNW,20,
2019-11-12,6.9,14.4,0,,,WNW,69,15:20,10.2,37,8,N,31,,12.9,44,,WNW,31,
2019-11-13,-2.5,8.5,0,,,WNW,57,23:27,-0.4,86,1,W,15,,7.6,59,,W,22,
2019-11-14,-0.6,12.3,0,,,W,41,23:04,4.9,95,3,W,17,,10.1,73,,W,22,
2019-11-15,4.7,13.8,0,,,WNW,70,12:54,8.3,73,2,WNW,31,,12.8,53,,WNW,31,
2019-11-16,3.7,14.3,0,,,WNW,48,16:22,5.9,69,,WNW,11,,13.2,35,,W,20,
2019-11-17,3.3,14.3,0,,,WNW,33,12:48,8.4,42,0,NE,7,,13.4,26,,WNW,13,
2019-11-18,4.5,16.0,0,,,WNW,43,15:49,7.6,45,2,W,15,,14.5,35,,WNW,24,
2019-11-19,7.5,21.7,0,,,WNW,65,12:28,13.0,41,0,WNW,30,,20.6,22,,WNW,30,
2019-11-20,11.0,23.1,0,,,WNW,31,13:41,15.0,31,1,NNW,7,,21.3,23,,WNW,17,
2019-11-21,15.0,27.6,0,,,NNW,50,13:43,22.0,27,1,NNE,13,,27.3,22,,NNW,22,
2019-11-22,17.2,22.6,0,,,NNW,54,23:22,19.8,34,1,WNW,15,,21.7,39,,W,26,
2019-11-23,11.3,20.0,0,,,WNW,43,12:53,13.9,36,0,W,15,,18.5,28,,W,22,
2019-11-24,8.2,19.8,0,,,WNW,41,14:56,13.0,60,0,NNW,9,,18.2,40,,W,22,
2019-11-25,11.8,21.9,0,,,WNW,50,10:02,13.9,33,0,WNW,20,,20.4,26,,WNW,28,
2019-11-26,13.0,14.0,0,,,WNW,96,13:34,13.6,55,8,NNW,41,,3.1,99,,WNW,35,
2019-11-27,-0.7,14.0,5.2,,,WNW,31,12:29,8.1,34,0,SW,13,,12.4,46,,WNW,19,
2019-11-28,7.6,19.2,0,,,W,35,11:07,12.2,33,0,SW,17,,17.4,29,,W,17,
2019-11-29,12.2,22.2,0,,,W,63,13:08,16.0,25,0,N,19,,21.2,19,,W,26,
2019-11-30,8.9,11.3,0.2,,,NW,56,11:33,9.2,77,8,NW,26,,10.1,54,,WNW,31,
